pid,uptake_year,uptake_group
100097118,34,3
100097337,30,3
100097470,29,3
100097523,37,3
100097686,28,3
100097740,29,3
100097757,32,3
100097794,31,3
100097868,42,3
100097911,32,3
100097930,27,3
100097943,31,3
100098062,28,3
100098208,30,3
100098271,40,3
100098580,27,3
100098887,42,3
100099048,40,3
100099064,43,3
100099459,29,3
100099469,26,3
100099852,40,3
100100038,33,3
100100288,29,3
100100478,43,3
100100582,34,3
100100846,34,3
100101058,42,3
100101104,26,3
100101188,28,3
100101278,33,3
100101339,28,3
100101586,44,3
100101651,28,3
100101652,29,3
100101770,33,3
100102022,25,3
100102057,38,3
100102158,32,3
100102182,34,3
100102239,34,3
100102377,35,3
100102406,33,3
100102422,25,3
100102822,28,3
100102934,28,3
100102985,27,3
100103163,32,3
100103170,26,3
100103461,34,3
100103465,35,3
100103526,34,3
100103691,29,3
100103822,25,3
100103932,31,3
100103963,26,3
100104086,28,3
100104305,31,3
100104462,30,3
100104806,36,3
100105036,39,3
100105617,39,3
100105659,26,3
100105774,27,3
100105783,25,3
100105911,31,3
100105917,39,3
100106333,36,3
100106461,27,3
100106477,38,3
100106568,29,3
100106927,38,3
100107061,36,3
100107228,39,3
100107361,30,3
100107561,30,3
100107655,29,3
100107763,29,3
100107809,30,3
100107818,27,3
100107959,33,3
100108288,26,3
100108374,25,3
100108465,36,3
100108526,37,3
100108531,28,3
100108601,33,3
100108789,42,3
100108798,38,3
100109356,36,3
100109846,26,3
100110020,37,3
100110377,29,3
100110483,29,3
100110568,40,3
100110789,43,3
100111020,32,3
100111066,42,3
100111113,25,3
100111235,32,3
100111550,26,3
100111576,34,3
100112048,25,3
100112070,39,3
100112089,25,3
100112177,25,3
100112338,25,3
100112397,28,3
100112456,26,3
100112836,33,3
100113050,29,3
100113134,31,3
100113372,38,3
100113642,27,3
100114215,26,3
100114308,35,3
100114508,39,3
100114758,40,3
100114816,40,3
100115138,26,3
100115246,25,3
100115544,32,3
100115758,32,3
