pid,uptake_year,mc,uptake_group
100138664,25,2,1
100138962,25,2,1
100139016,25,2,1
100139029,25,2,1
100139045,25,2,1
100139055,25,2,1
100139181,25,2,1
100139281,25,2,1
100139330,25,2,1
100139372,25,2,1
100139416,25,2,1
100139425,25,2,1
100139459,25,2,1
100139466,25,2,1
100139475,25,2,1
100139513,25,2,1
100139579,25,2,1
100139664,25,2,1
100139681,25,2,1
100139718,25,2,1
100139842,25,2,1
100140052,25,2,1
100140070,25,2,1
100140263,25,2,1
100140329,25,2,1
100140423,25,2,1
100140480,25,2,1
100140538,25,2,1
100140558,25,2,1
100140656,25,2,1
100140678,25,2,1
100140795,25,2,1
100140798,25,2,1
100140808,25,2,1
100140913,25,2,1
100141064,25,2,1
100141128,25,2,1
100141259,25,2,1
100141286,25,2,1
100141701,25,2,1
100141704,25,2,1
100141753,25,2,1
100141781,25,2,1
100141912,25,2,1
100141913,25,2,1
100141952,25,2,1
100141968,25,2,1
100141977,25,2,1
100142002,25,2,1
100142040,25,2,1
100142066,25,2,1
100142099,25,2,1
100142155,25,2,1
100142173,25,2,1
100142226,25,2,1
100142335,25,2,1
100142390,25,2,1
100142447,25,2,1
100142573,25,2,1
100142664,25,2,1
100142734,25,2,1
100142755,25,2,1
100142781,25,2,1
100142937,25,2,1
100142960,25,2,1
100143000,25,2,1
100143049,25,2,1
100143093,25,2,1
100143122,25,2,1
100143304,25,2,1
100143329,25,2,1
100143351,25,2,1
100143375,25,2,1
100143583,25,2,1
100143615,25,2,1
100143725,25,2,1
100143736,25,2,1
100143788,25,2,1
100143859,25,2,1
100143893,25,2,1
100143987,25,2,1
100144010,25,2,1
100144022,25,2,1
100144147,25,2,1
100144190,25,2,1
100144201,25,2,1
100144294,25,2,1
100144434,25,2,1
100144485,25,2,1
100144516,25,2,1
100144707,25,2,1
100144838,25,2,1
100144890,25,2,1
100144928,25,2,1
100145040,25,2,1
100145049,25,2,1
100145094,25,2,1
100145157,25,2,1
100145254,25,2,1
100145274,25,2,1
100145327,25,2,1
100145329,25,2,1
100145365,25,2,1
100145423,25,2,1
100145531,25,2,1
100145568,25,2,1
100145657,25,2,1
100145745,25,2,1
100145895,25,2,1
100145928,25,2,1
100146130,25,2,1
100146149,25,2,1
100146179,25,2,1
100146231,25,2,1
100146301,25,2,1
100146305,25,2,1
100146314,25,2,1
100146321,25,2,1
100146401,25,2,1
100146490,25,2,1
100146625,25,2,1
100146688,25,2,1
100146766,25,2,1
100146868,25,2,1
100146887,25,2,1
100146917,25,2,1
100147006,25,2,1
100147078,25,2,1
100147273,25,2,1
100147275,25,2,1
100147333,25,2,1
100147392,25,2,1
100147464,25,2,1
100147477,25,2,1
100147521,25,2,1
100147534,25,2,1
100147586,25,2,1
100147828,25,2,1
100147889,25,2,1
100147898,25,2,1
100147911,25,2,1
100148025,25,2,1
100148229,25,2,1
100148306,25,2,1
100148397,25,2,1
100148497,25,2,1
100148509,25,2,1
100148571,25,2,1
100148619,25,2,1
100148689,25,2,1
100148764,25,2,1
100148810,25,2,1
100148907,25,2,1
100148982,25,2,1
100148991,25,2,1
100149008,25,2,1
100149071,25,2,1
100149094,25,2,1
100149224,25,2,1
100149409,25,2,1
100149486,25,2,1
100149494,25,2,1
100149510,25,2,1
100149677,25,2,1
100149712,25,2,1
100149786,25,2,1
100149824,25,2,1
100149825,25,2,1
100149855,25,2,1
100149948,25,2,1
100150016,25,2,1
100150147,25,2,1
100150231,25,2,1
100150240,25,2,1
100150334,25,2,1
100150667,25,2,1
100150685,25,2,1
100150708,25,2,1
100150771,25,2,1
100150788,25,2,1
100150817,25,2,1
100150947,25,2,1
100150949,25,2,1
100151272,25,2,1
100151291,25,2,1
100151378,25,2,1
100151445,25,2,1
100151544,25,2,1
100151769,25,2,1
100151906,25,2,1
100151992,25,2,1
100152024,25,2,1
100152307,25,2,1
100152314,25,2,1
100152352,25,2,1
100152417,25,2,1
100152432,25,2,1
100152445,25,2,1
100152470,25,2,1
100152526,25,2,1
100152706,25,2,1
100152715,25,2,1
100152737,25,2,1
100153028,25,2,1
100153111,25,2,1
