pid,uptake_year,mc
100153895,25,5
100153986,25,5
100154026,25,5
100154210,25,5
100154225,25,5
100154378,25,5
100154412,25,5
100154563,25,5
100154810,25,5
100154864,25,5
100154930,25,5
100154935,25,5
100155076,25,5
100155360,25,5
100155401,25,5
100155442,25,5
100155449,25,5
100155458,25,5
100155581,25,5
100155591,25,5
100155721,25,5
100155819,25,5
100155853,25,5
100155856,25,5
100156052,25,5
100156111,25,5
811,25,5
2244,25,5
4227,25,5
5121,25,5
5157,25,5
6786,25,5
6947,25,5
7335,25,5
7403,25,5
8070,25,5
8745,25,5
8904,25,5
9546,25,5
9574,25,5
9698,25,5
9926,25,5
10529,25,5
11364,25,5
11681,25,5
11687,25,5
12097,25,5
12870,25,5
12932,25,5
14149,25,5
15170,25,5
16841,25,5
17484,25,5
17857,25,5
17893,25,5
18978,25,5
19491,25,5
20169,25,5
20874,25,5
21922,25,5
22116,25,5
22251,25,5
22404,25,5
22916,25,5
24136,25,5
25735,25,5
25793,25,5
25897,25,5
26019,25,5
26216,25,5
26660,25,5
26759,25,5
26913,25,5
27112,25,5
27393,25,5
27429,25,5
27815,25,5
28165,25,5
28294,25,5
29121,25,5
30055,25,5
30631,25,5
30819,25,5
31619,25,5
31750,25,5
32232,25,5
34441,25,5
35617,25,5
36033,25,5
36962,25,5
36995,25,5
37217,25,5
37443,25,5
38732,25,5
39334,25,5
40036,25,5
40106,25,5
41795,25,5
41957,25,5
42250,25,5
42890,25,5
43650,25,5
43781,25,5
43817,25,5
44035,25,5
44139,25,5
45538,25,5
45804,25,5
46147,25,5
46213,25,5
46275,25,5
46668,25,5
48742,25,5
50307,25,5
50689,25,5
51110,25,5
51234,25,5
51337,25,5
52420,25,5
55177,25,5
55523,25,5
55526,25,5
55748,25,5
55841,25,5
55941,25,5
55975,25,5
56487,25,5
56711,25,5
57609,25,5
57640,25,5
57895,25,5
58018,25,5
58055,25,5
58080,25,5
58107,25,5
58185,25,5
58291,25,5
58303,25,5
58553,25,5
58588,25,5
58675,25,5
58729,25,5
58854,25,5
58894,25,5
58998,25,5
59065,25,5
59068,25,5
59194,25,5
59424,25,5
59589,25,5
59677,25,5
59875,25,5
59938,25,5
60062,25,5
60064,25,5
60169,25,5
60443,25,5
60473,25,5
60510,25,5
60581,25,5
60607,25,5
60632,25,5
60669,25,5
60840,25,5
60852,25,5
60868,25,5
61049,25,5
61089,25,5
61136,25,5
61221,25,5
61253,25,5
61286,25,5
61301,25,5
61372,25,5
61383,25,5
61465,25,5
61593,25,5
61700,25,5
61739,25,5
61820,25,5
61859,25,5
61862,25,5
61902,25,5
62013,25,5
62139,25,5
62171,25,5
62195,25,5
62246,25,5
62569,25,5
62609,25,5
62645,25,5
62668,25,5
63076,25,5
63104,25,5
63144,25,5
63151,25,5
63231,25,5
63423,25,5
63586,25,5
63668,25,5
63844,25,5
63939,25,5
63968,25,5
63987,25,5
64018,25,5
64030,25,5
64040,25,5
64051,25,5
64102,25,5
64157,25,5
64240,25,5
64279,25,5
64313,25,5
64459,25,5
64572,25,5
64638,25,5
64685,25,5
64832,25,5
64907,25,5
64915,25,5
64982,25,5
65018,25,5
65052,25,5
65100,25,5
65194,25,5
65268,25,5
65304,25,5
65354,25,5
65378,25,5
65391,25,5
65475,25,5
65537,25,5
65622,25,5
65733,25,5
66165,25,5
66600,25,5
66606,25,5
66685,25,5
67000,25,5
67030,25,5
67040,25,5
67135,25,5
67211,25,5
67229,25,5
67301,25,5
67382,25,5
67467,25,5
67495,25,5
67721,25,5
67955,25,5
67960,25,5
67984,25,5
67990,25,5
68188,25,5
68222,25,5
68224,25,5
68231,25,5
68257,25,5
68364,25,5
68378,25,5
68687,25,5
68710,25,5
68775,25,5
68784,25,5
68785,25,5
68821,25,5
68860,25,5
68903,25,5
68917,25,5
68989,25,5
69032,25,5
69106,25,5
69339,25,5
69427,25,5
69487,25,5
69493,25,5
69520,25,5
69538,25,5
69597,25,5
69645,25,5
69766,25,5
69773,25,5
69857,25,5
69988,25,5
69995,25,5
69997,25,5
69998,25,5
70042,25,5
70060,25,5
70214,25,5
70278,25,5
70305,25,5
70307,25,5
70320,25,5
70329,25,5
70370,25,5
70393,25,5
70407,25,5
70430,25,5
70459,25,5
70513,25,5
70648,25,5
70836,25,5
70868,25,5
70915,25,5
70917,25,5
70963,25,5
70976,25,5
70985,25,5
71027,25,5
71099,25,5
71157,25,5
71160,25,5
71191,25,5
71289,25,5
71316,25,5
71515,25,5
71546,25,5
71587,25,5
71654,25,5
72005,25,5
72014,25,5
72080,25,5
72152,25,5
72327,25,5
72344,25,5
72508,25,5
72638,25,5
72643,25,5
72708,25,5
72736,25,5
72809,25,5
72834,25,5
72876,25,5
